angle,pair,rre,rte,rmse,time
10,0,8.45796878570973,0.0488927006545681,0.0814611012860304,0.1121909110806882
10,1,8.00530570980947,0.0549204634304111,0.0980863192897744,0.1009856332093477
10,2,9.93099894754131,0.0513443817498927,0.0798376826293827,0.1023607440292835
10,3,6.477358998080931,0.0717607170544993,0.1000790798831713,0.102499992121011
10,4,6.572454304477772,0.1016797854250008,0.1073790220958793,0.1049097189679741
10,5,8.826598816002335,0.0680345266426752,0.101198762481065,0.1026681675575673
10,6,4.509812033756645,0.0801756872587941,0.0878869862689217,0.1039257771335542
10,7,4.077490543157365,0.039451935746073,0.0505659169842045,0.1029017190448939
10,8,4.147658306360983,0.0511081631330598,0.0599029106240753,0.103716317564249
10,9,5.951044246550186,0.084258524455533,0.0850000612479086,0.1047692219726741
10,10,11.350418911047232,0.0210614730163591,0.0955355090453939,0.1069180858321487
10,11,1.4968150737724375,0.0488941316651775,0.0504072086228264,0.1058173379860818
10,12,13.034144255260635,0.1277348206978247,0.1333456599323991,0.1037142109125852
10,13,18.167071523299136,0.0521182889058489,0.1628446770019326,0.1035883771255612
10,14,6.803044422754,0.028979105479243,0.0611912222572465,0.102131575345993
10,15,28.86278753135604,0.1699689945883259,0.2580159506310362,0.1028922977857291
10,16,2.122211190564481,0.0601028220164316,0.0609037219816397,0.1059929612092673
10,17,3.2468834677156013,0.0519976033096896,0.0551530346183067,0.1051323809660971
10,18,4.229784089701809,0.0491787479513217,0.0675618591806699,0.1052361107431352
10,19,24.73840846035717,0.1177638320050847,0.237427801067277,0.103078959044069
20,0,9.108502670921776,0.0815773455219365,0.1065741257810705,0.1034076469950378
20,1,7.257435832063394,0.0513171094312457,0.0640648547795895,0.1016457821242511
20,2,19.54730924423767,0.1451347506471718,0.1945440691294317,0.1014337171800434
20,3,4.63537667001567,0.0406106830596263,0.059307481333635,0.1016317349858582
20,4,11.522464065792883,0.1004280652985576,0.1367655966957998,0.1038489588536322
20,5,30.627460448072164,0.1710965195538976,0.2450346088420653,0.1018214030191302
20,6,3.139193657583909,0.0664444333593052,0.0697997988895833,0.1038093380630016
20,7,1.168597805696467,0.0288732112950423,0.0292312060641402,0.1053772792220115
20,8,7.753508142686596,0.0280219019536423,0.0661670777283563,0.1038585882633924
20,9,5.355193961119898,0.0631873582776964,0.069174657531342,0.1035149288363754
20,10,11.534476477174431,0.0616061293178308,0.1228356389241873,0.1047256751917302
20,11,5.517706569523568,0.0317520674950699,0.0532916257589104,0.1037961221300065
20,12,3.7837296011505033,0.0505511340405331,0.059635116811825,0.1039093760773539
20,13,31.1344541166227,0.1572796768452093,0.2480252922574473,0.1026066751219332
20,14,8.140058768359552,0.0274539101726882,0.0728179775795631,0.1018976639024913
20,15,17.973599789102764,0.1936588128972532,0.2233639201791335,0.1015667398460209
20,16,11.56413772355045,0.0549310955517454,0.112495679649176,0.1041826950386166
20,17,1.8271325388963544,0.054385674015868,0.0526726967588356,0.1045832470990717
20,18,15.085047546828678,0.0663000108812871,0.1418572599827537,0.1032772678881883
20,19,12.047779859656377,0.0734781259365833,0.1180832818502957,0.1034651841036975
30,0,9.161030568660223,0.0645812964389149,0.1025259034791066,0.1041939412243664
30,1,7.213163365984806,0.047557196868477,0.0691296652979188,0.1023700372315943
30,2,15.500714824516438,0.0881408948684853,0.1314554129384958,0.1007477059029042
30,3,12.783416841999736,0.0665038165465851,0.1246702941620563,0.1046454338356852
30,4,4.538196441694907,0.0980339216358694,0.1004830149163508,0.1010524029843509
30,5,46.79493780975675,0.2573771573286074,0.3546673456781913,0.1020384090952575
30,6,4.2197686091076365,0.0879120900802738,0.091677886066495,0.1021474967710673
30,7,6.208710952302633,0.0404288810951225,0.0714674064926789,0.1023196200840175
30,8,0.9915776760311794,0.0169171145611043,0.0186741760637183,0.1014940948225557
30,9,6.801395270672947,0.0716176835399558,0.0802407988332924,0.1044413200579583
30,10,7.012355218208501,0.0264504298174722,0.0709332889829039,0.104180347174406
30,11,4.480915459279689,0.0473657538029892,0.0591185903508581,0.1030939407646656
30,12,8.514458705116475,0.0835855035711742,0.1065925196222448,0.1040499717928469
