angle,pair,rre,rte,rmse,time
10,0,0.0346891776195269,0.0008860466046796,0.0009201061336965,5.789657609071583
10,1,0.1934082776009256,0.001139906722351,0.0019918930582529,5.453657524194568
10,2,0.3150047303934557,0.0020217478590206,0.0035048802205025,5.505222315900028
10,3,0.5679895556133638,0.0022173074822338,0.0050341135350248,5.451190272346139
10,4,0.0971824321340605,0.0024380688750581,0.002344917785133,5.452839083038271
10,5,1.2569090948940826,0.0083754448609265,0.0112328596235394,5.503808837849647
10,6,0.1684906118130593,0.0010119456502498,0.0016444984043752,5.460271717980504
10,7,0.0869504923830977,0.00077879257156,0.0009948044354922,5.508026850875467
10,8,0.3463194744739998,0.0017967304046388,0.0029267389501845,5.4476533411070704
10,9,0.3322320212722249,0.0008031288463769,0.0025309947672567,5.510929272975773
10,10,0.2319800362432492,0.001447976329482,0.0020332303817146,5.453248450998217
10,11,0.234631232641994,0.0015320795246583,0.0027972184057816,5.501947168260813
10,12,0.5291027906689266,0.0024617748752066,0.0049644422224484,5.447492155712098
10,13,0.1511865102476107,0.0015833130654372,0.0019670307623665,5.507341914344579
10,14,0.2043142898919366,0.0014618686616528,0.0025307110283511,5.456280252896249
10,15,0.1505443819155322,0.0017881068704786,0.0019626421635891,5.504269571043551
10,16,0.1491575672985658,0.0016363520943486,0.0021636142752637,5.456559425685555
10,17,0.1176055877473978,0.0013596436521821,0.0017002698199994,5.457754976581782
10,18,0.1450085586367977,0.0015351829139752,0.0019929985253482,5.509033404756337
10,19,0.4949042885498024,0.0027058605982785,0.0043397997057487,5.44651526492089
20,0,0.0356938559178655,0.0008816115282969,0.0009203637338792,5.508944388013333
20,1,0.2052110814857749,0.0011789442542253,0.0020745415048759,5.45594506431371
20,2,0.3199586246532437,0.0021008809899021,0.0035672205606024,5.511846167966723
20,3,0.633708032622336,0.0025578125225849,0.0056226147952006,5.448817302938551
20,4,0.0998669766824587,0.00246602938957,0.0023671013764024,5.508709954097867
20,5,1.269851387284717,0.0084582249892319,0.0113661128430706,5.452572231180966
20,6,0.1681646402541047,0.0010160879353952,0.0016460547429808,5.4531562137417495
20,7,0.0763150563378936,0.0007641167887088,0.0009308076145023,5.5092533440329134
20,8,0.3737135720282213,0.0019938984895983,0.0031581050092398,5.449655142147094
20,9,0.3448447854635807,0.0008521635220624,0.0026174733037077,5.508474822156131
20,10,0.2332172309520002,0.0014455359441594,0.0020442818083217,5.453426458872855
20,11,0.2442935867078855,0.001475844460331,0.0028517233715477,5.508358743041754
20,12,0.5940925539461099,0.002807892188464,0.0055356978021622,5.44877024134621
20,13,0.1416051338783343,0.0015606350656835,0.0019306597555481,5.509501237887889
20,14,0.205249585655463,0.0014641658897888,0.0025391344183939,5.457881710026413
20,15,0.1551381732937573,0.00185134281209,0.0020332415930313,5.506338951177895
20,16,0.1595318040394655,0.0015988427336959,0.0022107047421659,5.453275565989316
20,17,0.1185010923659296,0.0013629751273361,0.0017038712894497,5.513882502913475
20,18,0.1447736628490126,0.0015319741460418,0.0019933406132082,5.45532284816727
20,19,0.5105160887322509,0.0027705753562322,0.0044507167218902,5.447716086637229
30,0,0.0379685827499797,0.0008830363492963,0.0009270581450448,5.5094004473648965
30,1,0.2269375351139537,0.0012643514258671,0.0022324539916485,5.452661601826549
30,2,0.3301146108177409,0.0022527195131777,0.0036916568189372,5.507974466308951
30,3,0.7382790857448068,0.0031234185786081,0.0065773290264484,5.448818347882479
30,4,0.1078828815119535,0.0025308519224515,0.0024244080681256,5.508226405829191
30,5,1.3375639308674945,0.0088567272011179,0.0119847573009618,5.450356483925134
30,6,0.1682897748116601,0.0010245593501567,0.0016533079049538,5.510986553039402
30,7,0.0608035044560177,0.0007521043868537,0.0008484932264328,5.4535543960519135
30,8,0.4243313521176249,0.0023744223791868,0.0035969840339053,5.503054123837501
30,9,0.363935384537521,0.0009237961508333,0.0027493865136919,5.4543376211076975
30,10,0.236643286755906,0.00144265941499,0.0020711160089054,5.455578563734889
30,11,0.2704783950792397,0.0013409515687364,0.0030164634435772,5.502031626645476
30,12,0.7120031973199317,0.003441628910546,0.006594068425544,5.44717355305329
30,13,0.1291487791600165,0.0015343115375712,0.0018953454240668,5.506421069148928
30,14,0.2072427136637995,0.0014689739270222,0.0025569397142142,5.456704575568438
30,15,0.1660688882828095,0.0019875354268538,0.0021883388184932,5.501256959978491
30,16,0.1828055229426934,0.0015232425614054,0.0023226290173635,5.459484491031617
30,17,0.1199301733975727,0.0013691555156685,0.0017096242695313,5.510598779190332
30,18,0.1442524409163781,0.0015266017634473,0.0019942935419336,5.455909311771393
30,19,0.5415261521827026,0.0028957275844332,0.0046812414923788,5.502487759105861
40,0,0.0425189917510329,0.0008911616919075,0.0009448600917273,5.4547229846939445
40,1,0.2632447316868374,0.0014391576942127,0.0025098818170999,5.455709296278656
40,2,0.3497199851891141,0.0025218317212662,0.0039249206981714,5.50043477024883
