angle,pair,rre,rte,rmse,time
10,0,0.1039859962750887,0.0005379070811484,0.0010178264924775,5.611294081900269
10,1,0.0472220033658044,0.001018745626481,0.0011159922479998,5.296063970774412
10,2,0.337852356545523,0.0009924297484357,0.0034067953747699,5.295813846867532
10,3,0.1881597519517599,0.0001849934661066,0.0016321634273758,5.297037196345627
10,4,0.0688071636168566,0.0026211419354496,0.0024779349461866,5.292757395189256
10,5,0.3679058973647768,0.0036632112846598,0.0040645018896096,5.296223680023104
10,6,0.2057624306624735,0.0008073478832072,0.0019661548973668,5.299639619886875
10,7,0.2069615859166254,0.0015480070144572,0.0020846026694846,5.298522973898798
10,8,0.2746151950522895,0.0020804154862585,0.0027947606511668,5.289307354949415
10,9,0.2056225438849629,0.0006112530214009,0.0017193772778384,5.414390955585986
10,10,0.2148712562005366,0.0010287243166212,0.001917144378733,5.420857818797231
10,11,0.1204265037590663,0.0019865584469414,0.0023062648701981,5.418282023165375
10,12,0.2766334944647859,0.0007858741953298,0.002697302166122,5.415853722952306
10,13,0.0903521218325913,0.0024017795369166,0.0023408748732775,5.42144539533183
10,14,0.1767236805307812,0.002519794196646,0.0030205516210615,5.417531776241958
10,15,0.228811288394536,0.0011647340625526,0.0021704127479779,5.416369704995304
10,16,0.086231716137104,0.0025652971732786,0.0024590041665353,5.420509576797485
10,17,0.2011217167755354,0.0014808314964302,0.0020798078208598,5.418960219249129
10,18,0.1499394138959612,0.0016692170609403,0.0019519295569878,5.420852335635573
10,19,0.3494164988528754,0.0029368824450564,0.0039711464247525,5.453615608625114
20,0,0.1028572737484361,0.0005315278529948,0.0010077411385756,5.531380756758153
20,1,0.0468883539404688,0.0010174574395258,0.0011142730291168,5.53623571805656
20,2,0.3378155759789834,0.0009919477408357,0.0034064275530252,5.533821662887931
20,3,0.193034622525214,0.0001972247142141,0.0016685254950055,5.532613754272461
20,4,0.0699752221749197,0.002627652191175,0.0024824077173491,5.521114362869412
20,5,0.3668505270329249,0.0036581473123028,0.0040598260013841,5.529359151609242
20,6,0.2050612504334015,0.0008068870180642,0.0019626537538865,5.527175155933946
20,7,0.2049448900697681,0.0015409747854074,0.0020698100751709,5.526167594827712
20,8,0.2751173350968773,0.0020822494121655,0.002798783607195,5.523191054817289
20,9,0.2083891722879955,0.0006207051051346,0.0017352960917608,5.531534796115011
20,10,0.214516471867572,0.0010281528057691,0.0019166214949535,5.526436323300004
20,11,0.1200898900937526,0.0019874826549472,0.0023062962175462,5.527190580032766
20,12,0.2755787908530762,0.0007850470915762,0.0026911370921643,5.512506005819887
20,13,0.0880057093906111,0.0024008664814132,0.0023375285630731,5.472347540780902
20,14,0.176880821507479,0.0025200711387978,0.0030214298910553,5.464528373908252
