pair,rre,rte,rmse,time
0,0.26439588221247673,0.00045977180578879256,0.002302182653208901,0.12042115675285459
1,0.14758990038856626,0.0029168030612881394,0.00234766278356191,0.11701627913862467
2,1.21834185532719,0.03425908988820968,0.03762483028873833,0.08142629312351346
3,0.20916686319192562,0.0017682702230773476,0.001398573222221311,0.13609816785901785
4,0.11776942095025793,0.0012587154155664225,0.001348042406080635,0.10412349831312895
5,2.5053685542751842,0.02803856213543997,0.03235424230486365,0.07132792612537742
6,0.05784270339209248,0.0010839252419885177,0.001133751562783278,0.12786746909841895
7,0.08080691948676984,0.0009280483803259568,0.0009559895548646327,0.14697628328576684
8,89.7664295253899,0.3964196611800961,0.69902853564878,0.0658670449629426
9,1.146507963318917,0.06599364666383706,0.05666900368614985,0.11712817521765828
10,0.3542215323247267,0.004721357922044317,0.00462425691144815,0.1155010862275958
11,0.1996060636950124,0.0018789631445705712,0.0024344603343076326,0.13915280904620886
12,0.11919585057483326,0.0012506050672012837,0.0016014479320083984,0.16485942481085658
13,0.02083238080055432,0.00122670939604329,0.0010980606722172344,0.1388210179284215
14,0.026925474930592507,0.0011384474835823054,0.0011263914835548702,0.1425737631507218
15,0.10703942402380776,0.0017946454368655976,0.0017794492811244976,0.12301872903481126
16,4.348958880849228,0.10861969825705767,0.09670657945621913,0.09415388107299805
17,2.363534899139792,0.01625538573146952,0.029737456508855214,0.09372313693165779
18,0.2048271345527436,0.0020752077700612022,0.0016618732959420256,0.11064116610214114
19,0.20449176032059663,0.001910621625956764,0.001992364470014656,0.08911793632432818
20,0.34321950476022983,0.183192780611311,0.18339511115509702,0.1159173222258687
21,0.12840495705793528,0.00236373722760805,0.0012887962078317393,0.11895956099033356
22,0.18752539081977168,0.001475981040361935,0.0017196447968341301,0.14838843932375312
23,0.18436739588086137,0.004438312799002892,0.005569614141944909,0.11826558783650398
24,0.6559541626557969,0.007412577344828663,0.0037660099120415667,0.10388733819127083
25,0.08211846985014984,0.0011903232673456349,0.0018104671000575044,0.14417718211188912
26,0.2779797248424935,0.0016484784246216606,0.0023780376389048647,0.13582056993618608
27,0.9916550113317332,0.018174891211601568,0.013347506493188648,0.09810806019231677
28,0.061490119071344294,0.0016222117203000975,0.0015571465033308554,0.13257254613563418
29,0.1338100418500839,0.0016222142196337073,0.001703368283682626,0.1495521292090416
30,0.13834636485025392,0.0013889925281063361,0.0010849123383943448,0.12605625903233886
31,0.3299878319532361,0.08875332976060912,0.08758583447961243,0.1120947701856494
32,0.18151874697756296,0.002051135243581635,0.0014196791783983645,0.12009011814370751
33,0.20032061687648417,0.0061948548136519154,0.0059324120235390455,0.13194557093083858
34,11.624687541114952,0.15777766904389298,0.13797244556674323,0.07622000714763999
35,0.11619208090405644,0.0015008569547076296,0.001097640329881706,0.1375152487307787
36,0.1479046869433666,0.0004184904963556318,0.0013421482821172421,0.12579577881842852
37,0.162633601260744,0.0010978335873205096,0.0016653234966965058,0.1207627453841269
38,0.10981228575618249,0.0007657616103944007,0.0012749412917610508,0.13466620491817594
39,0.19014232379286136,0.0014733828937043127,0.001761813382596681,0.13666586624458432
40,0.05840101727307473,0.00047619599526344165,0.0006963106558211293,0.1153504648245871
41,0.07666773798781018,0.0014154679628620363,0.0010977387779062824,0.14187636226415634
42,0.2886294031287313,0.003911802197972392,0.0030884952054299614,0.12005950789898634
43,0.1439350973180151,0.0011471735316741093,0.0015875138509795603,0.12334312219172716
44,0.04334496283825169,0.0010838658178314716,0.0011708622096369716,0.09913039579987526
45,0.26296023366051263,0.005053474208069815,0.0063148926729627766,0.11252962099388242
46,0.16145205226720655,0.0014527644616453396,0.0008839321864283572,0.1239233179949224
47,0.11561551525651409,0.0007925101189252016,0.0015282560495478543,0.13540557771921158
48,0.1286209777930991,0.0007051633856814336,0.0013482306030432629,0.13874514400959015
49,0.5679410597030079,0.006492249428815645,0.009243777777687494,0.1307389847934246
50,0.16927153899365627,0.0020646292426973194,0.001406751773106349,0.13620477030053735
51,0.06892773798091753,0.0009597710867187263,0.0015990953878863387,0.12851903308182955
52,1.5586742489977339,0.030214904296970692,0.024615001781281728,0.11217900132760406
53,0.058996725663796566,0.0005424402771862989,0.0007164597634185054,0.10232150182127953
