pair,rre,rte,rmse,time
0,1.0602761944651222,0.00829831959631545,0.00904365971145237,0.09490219503641129
1,0.537190169992701,0.0023266545081995532,0.003420552132207639,0.07221420994028449
2,0.5462803392819655,0.004770990567717721,0.0060539264767678755,0.07061466109007597
3,0.9222366746426646,0.0019284829472398367,0.0048990119124343295,0.06746808206662536
4,0.8341235309799029,0.009225559092121454,0.010945610003134428,0.06649312889203429
5,1.25625249629052,0.011045289423818919,0.009276108843855976,0.10507956333458424
6,0.5019155562896811,0.005753983081571411,0.007338454443859576,0.08479919377714396
7,0.20892132735620633,0.004509557906191743,0.0036928592081030107,0.07738968171179295
8,0.5261509843658477,0.010396595977631732,0.011308187180449902,0.06596082774922252
9,1.4017932312800594,0.016258190074651808,0.01224322638204559,0.0685721761547029
10,0.9982480650065276,0.01342590681179176,0.011958175400207454,0.07276187418028712
11,0.6556460712353195,0.005727562970694121,0.009898006381671756,0.05466482508927584
12,1.1162461062366895,0.011925685333735529,0.0074923531663331055,0.16939110914245248
13,1.2248014447707416,0.018755420218461962,0.015868614320829654,0.06842638971284032
14,2.5296891372397505,0.02919076224316705,0.01702381538638512,0.06811535963788629
15,1.0415205053464287,0.00921063024513823,0.007890355520641733,0.10257710888981819
16,4.994137834183393,0.018644812572716687,0.05058243954485317,0.056885985657572746
17,2.2086773615135,0.0060782397935885335,0.017979769933791658,0.06808786420151591
18,1.5707082042518503,0.002108223264483986,0.011604887665028492,0.07621002709493041
19,2.9945712095626535,0.025285006020566467,0.020728408675162027,0.07230659388005733
20,0.8716266631986592,0.008135101643606256,0.008282476144826382,0.07571983803063631
21,1.1737016427592326,0.004106231727927072,0.0118716739780615,0.0802802569232881
22,0.3874020711684477,0.0046360241361578704,0.00426555086444314,0.09854038711637259
23,3.5432058056312936,0.011655160463946896,0.03147939020304441,0.05255055706948042
24,6.84506411267534,0.04244742370753049,0.02384889826946968,0.0716164717450738
25,0.24622567936643516,0.005067175344244323,0.005334135003829571,0.106114586815238
26,0.8455234476743276,0.008480676711309192,0.005490008875555962,0.08442343724891543
27,1.6136974261481862,0.01737435178910491,0.014889174757362377,0.06067771418020129
28,0.2239225984413932,0.006459921554415105,0.007176635308012089,0.07826464110985398
29,0.966749834517599,0.004587900046093623,0.008952902251182808,0.10997085133567452
30,1.4105116758382303,0.012718266175400323,0.00956700677488253,0.06819570576772094
31,0.8110128124712486,0.021163291524820178,0.022325069532898163,0.05557514913380146
32,0.6105785448440991,0.003629591075065985,0.007448721256643873,0.10724268900230527
33,1.51801086871819,0.005546735506298545,0.019601402475261702,0.0477455360814929
34,0.6060539850389232,0.009858559110926429,0.008922664618094074,0.07157838018611073
35,0.37810373937288927,0.004815439037989189,0.003892181703310983,0.10731937270611525
36,0.6053076675160727,0.005464701246443304,0.005521192472362355,0.07367254514247179
37,0.5116283226629591,0.0029688203686880337,0.005220124041857612,0.07970615196973085
38,0.6294074029930546,0.012599581553567026,0.013870535302586976,0.06826952192932367
39,1.160874998819609,0.004080240872519951,0.010274708828779539,0.06360790925100446
40,0.1523978533069713,0.0019176052492597445,0.002302768789505144,0.09652619203552604
41,0.9340056692096312,0.015047736496712748,0.009401938184223644,0.08491807710379362
42,0.7501952680638714,0.0015558751754350638,0.006514020808534566,0.07512556202709675
43,0.47770867868587175,0.009196059198566465,0.010136671890663812,0.05254916287958622
44,0.44865295590239596,0.0009861741380715215,0.003916596636671553,0.06250383798032999
45,1.5651787869343563,0.020950915140756338,0.016151404988131324,0.06635692715644836
46,0.3476485207250098,0.004454473340628444,0.0036911957981796907,0.09052517591044307
47,0.8138098760680437,0.009041288339764772,0.009641031287971155,0.0692704077810049
48,0.6494310165591699,0.003112451596413705,0.008391305119626234,0.0835253531113267
49,2.794048311648493,0.0235380214063403,0.021139799118049196,0.05427206074818969
50,0.46739198406299526,0.002931680082603623,0.0034866505175788994,0.07510393625125289
51,0.3979005475303691,0.004499493136748644,0.006495773605969448,0.053072286769747734
52,0.27751608938410827,0.011760019916393903,0.013058330911557984,0.0656501678749919
53,0.8152627565444565,0.00479687369784539,0.008648117913720008,0.08225008705630898
54,0.31568755630664613,0.0034914231383513634,0.005299901269361647,0.059932162053883076
55,0.1773569800837359,0.006332226654577318,0.00585756994514451,0.07569586811587214
56,0.6780347983958145,0.002345984848675431,0.008733507999013297,0.06395964790135622
57,0.971205097058628,0.011129150623889304,0.014425098695766669,0.059260881040245295
58,0.3442603826315216,0.007544735204656859,0.00823067648084107,0.07007907703518867
59,1.2308574706884907,0.010305613305598588,0.008121195730035152,0.1421117032878101
60,0.851834744386746,0.006953851272043399,0.0072515585375236965,0.1524954568594694
61,0.45104390716857995,0.003865157428488364,0.006279742633047324,0.06680963514372706
62,0.557290466114815,0.006511170206373267,0.008549913732080127,0.05498616769909859
63,0.8465023283508742,0.014111593620421038,0.015229859172264552,0.0677147307433188
64,0.6486607469780725,0.002657241766492328,0.007286313121435253,0.07623298978433013
65,1.7048393486769058,0.006672842994906679,0.013396896833443021,0.0675451303832233
66,1.0799201562069316,0.006323731386966897,0.009325885432109372,0.08320774789899588
67,1.105084182969103,0.006008397433500975,0.01576927881384451,0.05997816100716591
68,0.9883928596697356,0.01983340821989237,0.018463369655369002,0.07000562502071261
69,1.0026943619839104,0.0059954039936346935,0.009733310038697054,0.0967255556024611
70,0.7690391617711627,0.005159096499483733,0.009578441751858494,0.053981196135282516
71,0.9987807887863444,0.011603531833604437,0.007270422096214702,0.08043904881924391
72,0.6590706598252819,0.0041790044719915015,0.006313704200990077,0.07475027721375227
73,0.22266032389191387,0.00424772001982845,0.0043053732319068005,0.07452935725450516
74,0.6829623124589461,0.014205341596722943,0.01186610432642006,0.059856918174773455
75,3.0815473643507136,0.027346758742665945,0.01185597020837829,0.07676139893010259
76,0.9399922375534397,0.012947137916862026,0.006764383570001467,0.10467696096748114
77,0.9506993211926972,0.01063880484336705,0.009225775784562225,0.07749448111280799
78,1.9387253297705542,0.017413951266477528,0.00898923381619369,0.08548906492069364
79,0.6745881486843415,0.00982254314206685,0.007580327255713397,0.07978850975632668
80,1.1483848502595602,0.011107547925928862,0.01528131118251082,0.06772609706968069
81,1.010610167091182,0.0010767610916112837,0.009183171907431766,0.08275477681308985
82,0.5658954231080364,0.005650457539875387,0.005635403450209657,0.07104628905653954
