pair,rre,rte,rmse,time
0,1.138515109450177,0.012764462239074684,0.013652239274397428,3.342489646282047
1,0.3694673928879166,0.011565969298351169,0.011663222326785827,3.0031541911885142
2,1.6804909237513392,0.0908842016185374,0.09389262290155502,3.049988288898021
3,0.2199082764798974,0.009086327159268697,0.01029455471707859,3.016764611005783
4,0.14173085924645448,0.0011976886909690694,0.0017163795097371807,3.0561239970847964
5,1.9862692467806635,0.04359028044941564,0.04011190920467582,2.993122679181397
6,0.5353117858250148,0.008239750647588888,0.005173690832646872,3.054804523009807
7,0.09022616652839402,0.0021194765809581595,0.00206214267288126,3.0061282673850656
8,91.90943652243915,0.3904985725265316,0.7115773585026908,3.044881955254823
9,1.6149270754277314,0.11443406081224904,0.10460191359917524,3.004772410262376
10,0.27489855434651295,0.043814836133537566,0.04332709028574698,3.062891432084143
11,0.39924535115762566,0.029356151337455293,0.030321927729728967,3.0144335348159075
12,0.1257431633372669,0.0011154093216762977,0.001947067086575656,3.0599255599081516
13,0.09128796398262298,0.001370629936287682,0.00155362647179263,3.008428298868239
14,0.251729261336593,0.004060381275269878,0.0036926655851935134,3.0651014209724963
15,0.2707744635869993,0.0020867290104012465,0.0019464459567715543,2.9942631698213518
16,5.894891763560752,0.14343708047208212,0.12194857954402921,3.0520741059444845
17,2.546293445000759,0.03015600104814909,0.04760306423723198,2.9890353977680206
18,1.8566355568704318,0.032958220501358056,0.0388227266637231,3.0483310441486537
19,0.14145645855008865,0.010173279455474624,0.009969053535284619,3.023474399931729
20,2.1670563326714603,0.15348210720308342,0.14212236420235622,3.0615735738538206
21,0.06867088924985483,0.0017510389816798072,0.0016365877482322714,3.0099112479947507
22,0.2221203112505683,0.0018734800539328032,0.0018422030820437496,2.9611703571863472
23,1.1319143069969924,0.014964068331175459,0.010282971675944292,3.0170698617585003
24,0.8956338955924634,0.015058108767078283,0.015368044116366275,3.077340144198388
25,0.23680453017692865,0.0014461299158851993,0.003261541745658107,3.017567503731698
26,0.38948999257022804,0.004089708293142671,0.004854534629883469,3.07254555914551
27,2.9707616335262013,0.03462637185552854,0.03928684417813672,3.0240994882769883
28,0.9649676114570779,0.009768411801073023,0.01371942922571389,3.069239328149706
29,0.14615495355894983,0.0005984087339595146,0.0013109716607761308,3.026147864293307
30,0.5038192311191465,0.0021143402597872314,0.00579056077203265,3.071198431774974
31,0.7667333122666277,0.09655727744931629,0.0934534072315643,3.0128678153268993
32,0.20987275030004343,0.0029832023428025354,0.0024560959040754228,3.069300082977861
33,1.6947575454007155,0.003967443355686666,0.01921157593750968,3.0216678981669247
34,14.986733745435602,0.22844740914914516,0.2021492579300169,3.055290293879807
35,0.05699373265939898,0.0018796380263695184,0.0018792849643488106,3.0144452890381217
36,0.20400824787921515,0.0025387063041995305,0.0025922023060067543,3.0705537009052932
37,1.014365225577999,0.009763121076081228,0.012090620339737991,3.013328995089978
38,0.21911463417843768,0.0023166485585826625,0.0028714865003606625,3.078817796893418
39,0.13727830300269303,0.0039041080340539423,0.004575602889308337,3.013416400179267
40,0.37163234518185917,0.0008786498004140809,0.0038467200069392713,3.0621882770210505
41,0.24358079252325668,0.006086430992964211,0.004279061599698168,3.013240766245872
42,3.646658300108804,0.03824628476431798,0.04079454410789316,3.057128863874823
43,0.09845198845939468,0.0015755176710541834,0.0017374143472673814,3.0123167471028864
44,0.04918212626350531,0.0014942268251899027,0.0015592531625754245,3.0648448769934475
45,1.1025403137336742,0.0072315147572045374,0.012068038904610948,3.019968136679381
46,2.01277671979782,0.018880456143894192,0.0322476651958924,3.0734948138706386
47,0.3440346704457945,0.002302236690993116,0.0042150965792720355,3.018387416843325
48,0.2054166150431157,0.001231784231632848,0.0026117879089467607,3.0725974990054965
49,0.7766785362429753,0.007519489630727788,0.010638247832967523,3.0215440997853875
50,3.2826770096683204,0.06414251557695971,0.044508637704818686,3.0711419940926135
51,0.058381185095269496,0.001954587242130018,0.002008302776888789,3.014388551004231
52,1.8363261068839571,0.034892721407860705,0.028410219609113198,3.0677133058197796
53,0.07247393032881562,0.00018873850928191764,0.000735528086968819,3.0122523428872228
54,0.9674953837993407,0.00931443051101951,0.014077062456259472,3.0741679198108613
55,0.1201337284022875,0.0017670324780056082,0.0017177815429013621,3.010695015080273
56,1.8351598495264807,0.02314941766826205,0.035043201345964975,3.0735816727392375
57,0.29848165182903214,0.003645619699237251,0.003763493842909611,3.0121335592120886
58,0.20110339562237692,0.004509702596210993,0.003726231151285767,3.0674404348246753
59,0.13062585316505881,0.0011495688110873619,0.0015304189944819774,3.022931457962841
60,0.0675119568304896,0.0006545446959940654,0.0008007009633189866,2.9544118898920715
61,1.9059381611288089,0.010522898783087467,0.017129548332559676,3.0164182111620903
62,1.0809885754826187,0.09434634621074067,0.09602919708912433,3.0711647579446435
63,5.5576959853906605,0.051978120645968184,0.0970782908247711,3.0069245011545718
64,2.6853439069845924,0.008744657223895447,0.024862194963570613,3.06283837556839
65,10.066529870972692,0.04679282044460977,0.09330451758067046,3.0033524301834404
66,0.45880219116158477,0.006361072654097063,0.004410141840138743,3.076881682034582
67,0.2883029585516888,0.16947655110625615,0.16882681240571584,3.0232330658473074
68,2.2516621224578546,0.06545862911734569,0.06496305995425919,3.068366900086403
69,0.2585217463907053,0.0050330430356374965,0.003802656872471657,3.0137978941202164
70,0.29986468250802506,0.004798325844331576,0.006708137553935052,3.0620101941749454
71,1.5880365994444932,0.029236112248374965,0.01848937349511805,3.009252138901502
72,0.9383013841158935,0.00828530756440737,0.010480950005040311,3.0716391187161207
73,1.7806696142449752,0.027094246106266002,0.024255097810954775,3.012564045842737
74,0.19381830788404594,0.0038561769089389716,0.0031784024325575014,3.0731445639394224
75,0.987076922831226,0.012451824979736372,0.009128591514148424,3.022501611150801
76,0.6950704656437675,0.03847651277321374,0.03732591003523346,3.058084550779313
77,0.33698520495662215,0.0030679477573448168,0.0032634911820230436,3.0204230579547584
78,0.14551153607138798,0.006616753877441245,0.0063828804314840955,3.0794609230943024
79,0.18353670390145327,0.004065699649443354,0.0033990551643924348,3.0134703028015792
80,0.3554012227443062,0.00435757121611341,0.004189722814383542,3.077630738262087
81,0.6372706770531764,0.00694686286710545,0.004808532907760042,3.013332293368876
82,8.77568132087019,0.0855427601929523,0.1276111639560346,3.0634781708940864
83,0.6031847726954495,0.04004979308345568,0.03703581744381329,3.017384727951139
84,0.15475930007464578,0.0020591685437606985,0.0011433881896250624,3.0693779811263084
