pair,rre,rte,rmse,time
0,0.2521073423660044,0.0009373104448132739,0.0021736276317805515,0.6720820600166917
1,0.16112025692632267,0.0029415128978634935,0.0019108126241270422,0.5340160168707371
2,0.477622658775126,0.024553481677441834,0.02562078810676655,0.5332709890790284
3,0.27177647747281286,0.0031571519830879166,0.0022354227881560824,0.5360987577587366
4,0.11149034829175254,0.0011415235545393133,0.001216129442599403,0.5321852350607514
5,0.1597717330197994,0.0006571278560241697,0.0011694832634305305,0.5329595278017223
6,0.05297121964244073,0.0005554659504870504,0.0008263801305957271,0.5332749760709703
7,0.08294764148006169,0.0009375893363705972,0.0010326602894115756,0.49843003414571285
8,0.03557283714606407,0.0007211117413784737,0.0006445517176522081,0.5346862999722362
9,1.130467990817831,0.05114505003830286,0.04238127646500244,0.5339233768172562
10,0.316454138786617,0.0051972164294691835,0.004829914057469396,0.5345993782393634
11,0.1738534455097257,0.0052447380552627975,0.005961146530186214,0.5344378352165222
12,0.09032466095298093,0.0014382912444508356,0.0013002806661310102,0.5196189531125128
13,0.0685448332041243,0.000740312052672317,0.0007678075943650952,0.5194060020148754
14,0.11675004502662949,0.0023989977429356977,0.0016728065778756056,0.5337858833372593
15,0.09165824446141553,0.0014008109814187255,0.0014712858555748505,0.5330869359895587
16,4.362667552104458,0.10465116472573317,0.10168662798426241,0.5333654303103685
17,0.10086107224324306,0.0010671686451188286,0.0011129944094726179,0.5332789160311222
18,0.17706643306095557,0.0018669581648834196,0.001360341723478683,0.5330311059951782
19,0.08878181482087975,0.001383712294024282,0.0011904373177440799,0.5344029958359897
20,0.2611720782722459,0.18323588397820914,0.18297602728378198,0.5333930822089314
21,0.08025675710470986,0.0016286082161581384,0.0011011385700207634,0.5331006720662117
22,0.17218058782744694,0.0010449664992973487,0.0013036622769627838,0.533880699891597
23,0.21934596736989442,0.006164421691595912,0.0060996357203529535,0.5342549597844481
24,0.3367284754685955,0.003190478550664724,0.0022428803257325096,0.5342085519805551
25,0.08880240179843228,0.001094608462528432,0.0018692212594104535,0.5354982349090278
26,0.23997303519913446,0.0015711910883768473,0.0019259021643588433,0.5359793198294938
27,0.8619896002700297,0.011476653815506247,0.008690589306867877,0.537270549684763
28,0.07882272048993036,0.001123129520312557,0.0012485787371206358,0.5357609647326171
29,0.08365408562069285,0.001016180541891962,0.001157541633809093,0.5324558117426932
30,0.04443058283536522,0.0012265402458909477,0.0010898446993083807,0.535315073095262
31,0.2851287827613267,0.1272049606002999,0.12538847541659828,0.5346903647296131
32,0.1008405633891611,0.0016074532222018372,0.001153227386547519,0.5345061006955802
33,0.07478998198185864,0.00198028206630175,0.0022888502534126,0.5356997470371425
34,14.933777569835184,0.1997239323627243,0.17246224136555977,0.5332127413712442
35,0.10412900272390009,0.001416053434943865,0.001295832670363179,0.5207793610170484
36,0.1682661231591454,0.00019627785646311198,0.0013117045106514262,0.5345983477309346
37,0.1082853236666897,0.000685691860832586,0.001134747315460063,0.534430421423167
38,0.11261486490752633,0.0005385597468937077,0.0010333225292209587,0.534736611880362
39,0.13851977654521497,0.001094599740871226,0.0011493281734012613,0.5340221039950848
40,0.1426682745703196,0.0007171432735699213,0.00143057059988751,0.533061889000237
41,0.12148327180880868,0.0017365867671081628,0.00128149084519044,0.5350198848173022
42,0.16527779890811078,0.002373877900236275,0.002188537437452266,0.5338780139572918
43,0.13142024387347215,0.0012269985312998008,0.0014232282453273885,0.4980517369695008
44,0.08807893182130916,0.0009124894938348949,0.00121987528601454,0.5334601001814008
