sigma,pair,rre,rte,rmse,time
0.01,0,0.027145607868095,0.0004646628928195,0.000535434674745,1.5830604140646756
0.01,1,0.0508123955739705,0.0006371505068228,0.0006672646476678,3.5577169051393867
0.01,2,0.1042903805738893,0.0005635374511826,0.0011710859802283,3.878917806316167
0.01,3,0.0376918229046908,0.0005072380405191,0.0006645461787384,3.880801138933748
0.01,4,0.0945851759540701,0.0009586393774173,0.001100698785863,3.882727799937129
0.01,5,0.1401760776998399,0.0010616986301964,0.0014660194048916,3.882966934237629
0.01,6,0.0746418475060593,0.0005188394392875,0.0007406948895668,3.885732465889305
0.01,7,0.0317341268331637,0.0005785479628577,0.0006655274310084,3.8824814688414335
0.01,8,0.0677431965696551,0.0005467456803559,0.0008110821020699,3.8897658470086753
0.01,9,0.0738505952849566,0.0008041122547425,0.0009036542095754,3.885752785019577
0.01,10,0.0586654560421604,0.0005746134902481,0.0007035760471779,3.917154198978096
0.01,11,0.0703366565814353,0.0009757895543719,0.0011667089530595,4.010981458704919
0.01,12,0.0854768195620711,0.0002799362245215,0.0008981289854792,4.007450592238456
0.01,13,0.0508296864983456,0.0007854467399804,0.0007755789291747,4.012982401065528
0.01,14,0.0344241380534194,0.0003245196445193,0.0005137403192794,4.010508256033063
0.01,15,0.0725305414709814,0.000613921760191,0.0007809144568715,4.012801489792764
0.01,16,0.0685906837271674,0.0008481190200014,0.0010247135180746,4.0095004523172975
0.01,17,0.0757123602991686,0.0003822973791788,0.0008821746584064,4.007546954788268
0.01,18,0.0511150443346923,0.0006250776790674,0.000863496076865,4.006204123608768
0.01,19,0.1219575683741708,0.0008906601713656,0.0013292630659914,4.009681550785899
0.02,0,0.080687159721991,0.0008470695102843,0.0010381066408576,4.005400434136391
0.02,1,0.0557169796917796,0.0012925896319209,0.0014063826252493,4.073199835140258
0.02,2,0.3374706825312299,0.0009545163562263,0.0034027517327052,4.114250835031271
0.02,3,0.2717089963620632,0.000567646443113,0.0022090228751981,4.115657654125243
0.02,4,0.0839841634805999,0.0023395965963459,0.0022234625063536,4.112101800739765
0.02,5,0.4172148580753018,0.0040607886570617,0.0044904949792272,4.114826112054288
0.02,6,0.2962325844422119,0.0007715921008193,0.0025456583048976,4.1185017372481525
0.02,7,0.242856390320605,0.0017730359313392,0.0022473511724018,4.1177979446947575
0.02,8,0.3453309249967763,0.0027098322379388,0.0037213310409368,4.116809912957251
0.02,9,0.1758203858973621,0.0013089612573085,0.0019676960953032,4.114324988797307
0.02,10,0.1972983644790666,0.0015340226544559,0.0022322371737619,4.118991834111512
0.02,11,0.1371093951773099,0.0022016849216237,0.0024913772224774,4.116589206736535
0.02,12,0.2752247007870002,0.001076080828722,0.0027707624616279,4.117215130012482
0.02,13,0.0828705219919864,0.0024843698631654,0.0023332937631171,4.114020131062716
0.02,14,0.1967751324991409,0.0026963484935037,0.0031372370056155,4.078008494805545
0.02,15,0.1707296254577327,0.0012436399902355,0.0018907868115632,4.061388438101858
0.02,16,0.1818931579092155,0.0029510015097317,0.0029240902725993,4.05950657883659
0.02,17,0.2666274122860223,0.001838114181412,0.0026889559691398,4.064484626054764
0.02,18,0.1233131217244288,0.0023636432663744,0.0023228976177628,4.064705048222095
0.02,19,0.2994731843099237,0.002800045002129,0.0036653715799809,4.052732154726982
0.03,0,0.1870939641912908,0.0011069440051261,0.0017684222306867,4.056820807047188
0.03,1,0.225949398893494,0.0016330182990485,0.0024442593660932,4.05906491028145
0.03,2,0.5488530483585806,0.0023090245292378,0.0054077887590674,4.06064916215837
0.03,3,0.3421990313373192,0.0008264055845763,0.0030264824260246,4.058781513944268
0.03,4,0.1247530854546689,0.0036429681549004,0.0036359520957976,4.0607890309765935
0.03,5,0.735237732208371,0.0060357627746011,0.0071022343358033,4.0590431010350585
0.03,6,0.3375732435975506,0.0015026366491421,0.0031728996827041,4.051413062028587
0.03,7,0.3181802046865645,0.0023666709181273,0.0035053380772056,4.059087879955769
0.03,8,0.4077241972881558,0.0026043218814416,0.0040507717873822,4.0604459648020566
0.03,9,0.6173547283534533,0.0030490831856864,0.0053129776224554,4.053727154619992
0.03,10,0.2090138385325302,0.0008001834860943,0.0020037111268275,4.06220785016194
0.03,11,0.2026037530239025,0.0038674159412217,0.0042877636065624,4.114996214862913
0.03,12,0.4802348325320418,0.0023196103152133,0.0049086181821347,4.143061215989292
0.03,13,0.1389112757801476,0.0033715407495656,0.0034911767057562,4.145101362839341
0.03,14,0.3805133641070983,0.0036058652355587,0.0048519322824797,4.140299936756492
