overlap,pair,rre,rte,rmse,time
0.4,0,28.26911040523488,0.5720814976488136,0.5653141665474464,0.1095740827731788
0.4,1,39.009347837376914,0.4437029713294323,0.6202841498966878,0.1051670522429049
0.4,2,19.302965591924043,0.2741817199661531,0.3669606344337328,0.0985020822845399
0.4,3,34.3221761532743,0.1788489811278584,0.3376777082338061,0.1385367312468588
0.4,4,34.99282407468569,0.2338366149828276,0.3277122151988146,0.0970867509022355
0.4,5,25.76020751783312,0.2729706825981002,0.3583916287284793,0.0924986861646175
0.4,6,4.994154772745368,0.1203088893687134,0.1205186952274007,0.1383070363663137
0.4,7,35.008031576382905,0.4099748480284934,0.4915687628276232,0.0966580398380756
0.4,8,41.74624702854396,0.2649211648910426,0.4240555899675132,0.0947678438387811
0.4,9,52.73690519896693,0.5551199169294181,0.783021355426374,0.0990564241074025
0.4,10,38.17614282141639,0.3847111299071051,0.59721950729626,0.1085387161001563
0.4,11,33.90676479268483,0.5342357224563378,0.599932101539421,0.0986095047555863
0.4,12,16.645680412448677,0.0736103260639719,0.1577608829446457,0.1579393167048692
0.4,13,35.616049399518765,0.6610065939773991,0.694237343493392,0.0951611478812992
0.4,14,29.06260438146553,0.2266193374994846,0.3272895203473973,0.1222240519709885
0.4,15,39.318606172796855,0.1902816846152326,0.4261923701029277,0.1000932632014155
0.4,16,37.02906784855157,0.4179644788486391,0.4982956020685867,0.093880898784846
0.4,17,5.52760671583255,0.0435855812648619,0.0652035789000302,0.101073473226279
0.4,18,51.24891831157076,0.3396533115855126,0.5709271196528979,0.0978067149408161
0.4,19,26.922765597182323,0.2814204721879857,0.2935483442256366,0.1051652613095939
0.5,0,37.2466787698297,0.5769769165316121,0.5644565628075388,0.1066448166966438
0.5,1,41.33279070458197,0.3404566631933783,0.552655089681894,0.100195946637541
0.5,2,18.53913975003452,0.2198051290382358,0.284269363172531,0.0938441026955843
0.5,3,39.6644226060136,0.3236736175638126,0.4308440649048039,0.1001444389112293
0.5,4,18.94250237656976,0.1508351486093931,0.2086131689261214,0.1025786767713725
0.5,5,36.42188968771557,0.0804781446436491,0.3120731268287414,0.0972573268227279
0.5,6,22.14895773012184,0.4192352593771232,0.4258592760450849,0.0949956648983061
0.5,7,35.01089096046564,0.4690227551411009,0.5567784690155007,0.1023845388554036
0.5,8,48.60344029517698,0.2415023885615244,0.4838600197699004,0.1107467808760702
0.5,9,49.79788905868012,0.4950483063930643,0.7169672524405702,0.119531805627048
0.5,10,35.07547872416499,0.3912754338502062,0.5854861163983905,0.0982221872545778
0.5,11,34.35164866902947,0.587072450747158,0.6286303066102816,0.1005271431058645
0.5,12,19.62709184205392,0.1273740110469709,0.1890885068935036,0.1000255323015153
0.5,13,25.16538110835631,0.5952946829054462,0.6144007941899174,0.1536234179511666
0.5,14,27.84881473594843,0.1724699046269421,0.3017939886142115,0.1035999506711959
0.5,15,32.82295574422971,0.2906970165084762,0.4179590767866481,0.0993027607910335
0.5,16,29.69413418181864,0.4097868132749914,0.439010469606626,0.09611372416839
0.5,17,4.984817654952165,0.0477046024363823,0.0679451463640489,0.1035318248905241
0.5,18,23.294526712968644,0.3926933439238533,0.4560454426871739,0.1004450172185897
0.5,19,18.671448254961938,0.2968436576499385,0.2937564342397107,0.1688576112501323
0.6,0,42.67925397127501,0.6257517247085508,0.6114318862714581,0.0988364117220044
0.6,1,35.7756435702484,0.3683611658555118,0.5627286724246762,0.1237872499041259
0.6,2,21.2210668344914,0.1973105266626456,0.2661224467885105,0.0984589923173189
0.6,3,27.00187774108013,0.1769258411396382,0.3066950787539989,0.0955828027799725
0.6,4,28.75768601654346,0.2224385438320965,0.3024538151368978,0.1048164428211748
0.6,5,38.26280062561512,0.0922828298256287,0.3222774047327097,0.1536292089149356
0.6,6,21.009180760066013,0.4794375510910331,0.5309816703195048,0.0985019630752503
0.6,7,27.48168314350333,0.3954151640732675,0.4606425996298253,0.1406941157765686
0.6,8,42.76976452010683,0.3539454205396465,0.5038072397156338,0.0968383513391017
0.6,9,35.78613574480492,0.2980854839779566,0.4878796719724565,0.0965492548421025
0.6,10,33.15089946212612,0.3594027700441405,0.5246496922292332,0.1003551231697201
0.6,11,34.43505370228556,0.6785252134144059,0.7069291658953935,0.0993157671764493
0.6,12,10.77530229129798,0.0514528458847381,0.0990622185756473,0.1063776379451155
0.6,13,24.092961679087946,0.6469511474136813,0.6572644407262205,0.0989386397413909
0.6,14,29.39566426625242,0.1982867358099977,0.3253175980909444,0.0965578029863536
0.6,15,29.78844800176726,0.293934312967146,0.4051316450300745,0.1011058711446821
0.6,16,27.6579450219118,0.2773402584328941,0.3427177468281731,0.1072434769012034
0.6,17,6.351721355217178,0.0515483301427997,0.0794760984470564,0.0999955921433866
0.6,18,27.049313622481414,0.3435369560486068,0.435081870626349,0.0980069618672132
0.6,19,29.9948192844684,0.3302915973191792,0.3575302142323317,0.0979867628775537
0.7,0,40.00033171376386,0.6997544340349869,0.6891973660810897,0.0961836646310985
0.7,1,33.58667612136017,0.4364668186918761,0.5963394375926653,0.1520831966772675
0.7,2,18.56720200615821,0.285207534610883,0.3731115368121673,0.1028242013417184
0.7,3,23.65439875891068,0.2229105918044143,0.2984571050453942,0.132048862054944
0.7,4,27.480484022191945,0.251545712734705,0.3158950823165991,0.1046273251995444
0.7,5,40.36085043025972,0.1853838067662236,0.3961843400389735,0.0989614939317107
0.7,6,13.92867110730494,0.3378898134190792,0.3871764216468624,0.1449098088778555
0.7,7,31.09327766487016,0.2727327089570566,0.3711007652148379,0.1039940663613379
0.7,8,33.79374073870102,0.3757432088836968,0.4883522615258198,0.1057685650885105
0.7,9,30.168555598596605,0.5096111799959014,0.6043359222325175,0.1041240529157221
0.7,10,30.23979847997873,0.3367047628034042,0.5022273661262459,0.1479896157979965
0.7,11,34.49019786265176,0.5031516101424999,0.5566143307202299,0.1028285403735935
0.7,12,17.089149360986628,0.0842314689179875,0.1628852896459988,0.0993039449676871
0.7,13,25.83465955723649,0.5615777611204461,0.572550507889919,0.0990176261402666
0.7,14,24.285806602703907,0.1473576276031779,0.2623466342967249,0.1059129820205271
0.7,15,34.831948980211564,0.3161499159672171,0.4670303065516382,0.100043280981481
0.7,16,30.66889160596841,0.2644709364449347,0.3487468113806236,0.1025540810078382
0.7,17,16.1019761328748,0.1133979840205034,0.1894522403792897,0.0960672129876911
0.7,18,37.1657380747582,0.4315197954751365,0.5319909027188512,0.1030597537755966
0.7,19,34.53830158471003,0.4122909382674385,0.4461489918112367,0.0992441540583968
0.8,0,39.522562122332,0.5277218013833301,0.5238015686395067,0.1416525500826537
