overlap,pair,rre,rte,rmse,time
0.4,0,36.26880427811289,0.3838023286458573,0.5427467742073532,0.0739012639969587
0.4,1,0.691361334984768,0.0040169783138871,0.0090791661417936,0.0626191110350191
0.4,2,6.286988286050178,0.0236226686584626,0.0657861740275937,0.0672816801816225
0.4,3,0.8724583728017394,0.0106008544750551,0.0115620570329971,0.0601847483776509
0.4,4,1.2262481310837958,0.0043484746510867,0.0119197467544411,0.0704402439296245
0.4,5,3.7832590568879017,0.0222511968483727,0.0379738587334785,0.0666745970956981
0.4,6,4.925073962878279,0.0110389177383649,0.0475258562973843,0.0690580820664763
0.4,7,6.272400339038335,0.0454055946121427,0.0788950266377476,0.067491240799427
0.4,8,9.649068667087963,0.0095814013039661,0.0896185528629462,0.0716564157046377
0.4,9,3.589165538859784,0.0211138780052895,0.0393992720489154,0.0661323079839348
0.4,10,1.1275422648676376,0.017921177505644,0.0205561092417013,0.0711621660739183
0.4,11,2.9224130676458,0.0389920339938905,0.046657349392823,0.0662591396830976
0.4,12,0.9509568871781452,0.0140163606871707,0.0138667835123356,0.0638862969353795
0.4,13,1.501519145520082,0.0105267726404636,0.0137361207845378,0.0634313928894698
0.4,14,5.055675096524713,0.0162384963928553,0.0420033032228762,0.0685006543062627
0.4,15,2.168190418580979,0.0037421429754778,0.0226756494091349,0.0672839940525591
0.4,16,4.762467574409708,0.0512803188924448,0.0644547593732782,0.0553987841121852
0.4,17,3.0916704781038784,0.0361610365425276,0.0387892648829001,0.0692683509550988
0.4,18,5.599642219133501,0.0703976418519143,0.0895120623815033,0.068135857116431
0.4,19,2.4838039848126616,0.0257349889222018,0.0317610616443855,0.0634611356072127
0.5,0,0.7783066510368429,0.016304724576816,0.0160437671205149,0.0681922798976302
0.5,1,2.0782829683809263,0.0141342240759638,0.0219410946209622,0.0713301869109273
0.5,2,3.460538986560079,0.0187729281048876,0.0314014388432825,0.0644018650054931
0.5,3,2.734375616562636,0.0227975580621318,0.0284343039536808,0.0725375371985137
0.5,4,2.762443118101672,0.0107760589017515,0.0250119336618418,0.0777484127320349
0.5,5,2.4833974584759444,0.0198957191527487,0.0251282271373791,0.0700535266660153
0.5,6,0.9691786470583188,0.0094061120854017,0.0138060090741751,0.0696981879882514
0.5,7,3.667707858637867,0.0173829086182426,0.0400918506403898,0.0737472558394074
0.5,8,2.580782360394092,0.0226825716164237,0.0325376574491887,0.0713865859434008
0.5,9,6.171853388811232,0.0168347595129144,0.0547753875827237,0.072760796174407
0.5,10,5.357341193530957,0.0193302909656467,0.0427413388578672,0.068198983091861
0.5,11,1.1794610660964242,0.0118196722390267,0.0165649562918185,0.0708553786389529
0.5,12,1.9373215005409712,0.0207720673673052,0.0221011282338532,0.0753808598965406
0.5,13,3.724004844324415,0.0435309687761549,0.0551217535999022,0.076848214957863
0.5,14,3.617672078549432,0.0315222877464251,0.048140675269785,0.073001891374588
0.5,15,3.596016246477201,0.0194923792190396,0.0311095412378922,0.0702820750884711
0.5,16,3.494666053347041,0.0363035754273927,0.0480024317841538,0.0599795766174793
0.5,17,1.4518068455126796,0.0081314186410535,0.0132866727325819,0.0581284100189805
0.5,18,9.425407009852284,0.0902426252287945,0.1111489747774013,0.0793181550689041
0.5,19,1.286170854368431,0.0110211840682371,0.0151630483304889,0.0703576989471912
0.6,0,4.883816863703305,0.0346814489225717,0.042178416864358,0.068456192035228
0.6,1,1.4161813548664175,0.0184557924163695,0.0203198217682624,0.0816535372287035
0.6,2,1.2750609343417547,0.0157103171560018,0.0216692664020436,0.0788621953688561
0.6,3,2.270307701311455,0.0125689024703556,0.0207794022430546,0.0760782742872834
0.6,4,3.222972231913956,0.0178494191219644,0.0266143542467578,0.0838167709298431
0.6,5,3.773703682035916,0.0196803834395511,0.0330636370905735,0.07956636371091
0.6,6,2.455706327233952,0.0038480477033608,0.0225258226765573,0.0622616680338978
0.6,7,2.772514475672263,0.0067734991098182,0.0261005887552842,0.0817814078181982
0.6,8,2.343558195767228,0.0162739326829643,0.0256344493997312,0.0856599388644099
0.6,9,1.4149377897242594,0.013916774428778,0.0197317348374531,0.0767942136153578
0.6,10,3.510130653203729,0.0144022907197066,0.0339487297384778,0.0652516679838299
0.6,11,2.1826960191963325,0.0143435590460883,0.0242240858253921,0.0732720787636935
0.6,12,0.6745915935280695,0.0136538937626765,0.0143529982157173,0.0743060652166605
0.6,13,1.4498706769929772,0.0133868871908422,0.0170659932454289,0.0735801388509571
0.6,14,2.207991671670073,0.0190531550076117,0.0313770369782865,0.0800917581655085
0.6,15,2.804035373539783,0.0033706434962102,0.0256322225995006,0.0814930056221783
0.6,16,1.2262354260003678,0.0116740048057789,0.013654533997795,0.0716348080895841
0.6,17,2.241785854069952,0.0162709900193752,0.0233191057469681,0.0830096951685845
0.6,18,1.5041286923558157,0.0233772540632858,0.0254494887023083,0.0635694051161408
0.6,19,0.8559527207708734,0.0096702654479719,0.0126089580786837,0.0818544281646609
0.7,0,1.3203788987765577,0.0061338021942649,0.0131871152159582,0.0863802367821335
0.7,1,1.0063765374188245,0.0094037311110171,0.0133353032822384,0.0912240841425955
0.7,2,2.928562009565681,0.0209260265842794,0.0330175177128141,0.0799342049285769
0.7,3,1.6398906287927588,0.0146729522249778,0.0213055411186907,0.0907541099004447
0.7,4,2.0637939472215074,0.0183751499644761,0.0249057634322523,0.0818365649320185
0.7,5,4.417012282743772,0.0330903741696115,0.0423643487205987,0.0844522439874708
0.7,6,1.260022295810371,0.0117919512065941,0.0171586570688529,0.0745190079323947
