ratio,pair,rre,rte,rmse,time
0.1,0,0.0980198853867644,0.0009762962329257,0.0011565595105252,3.689529363065958
0.1,1,0.1471754406651052,0.0008033637409012,0.0014322481207755,5.296059636864811
0.1,2,0.2928203493484664,0.0017892868001329,0.0034557346238603,5.295364521909505
0.1,3,0.2064343537335479,0.0010915105914324,0.0017962636274394,5.296808680985123
0.1,4,0.0579563327737305,0.0025061410309537,0.0023937512334263,5.298932863865048
0.1,5,0.2919461476179243,0.0032104777861452,0.0037318793150743,5.2941367332823575
0.1,6,0.2694837511068722,0.0001769460116552,0.0022651719717857,5.295468512922525
0.1,7,0.1662149471939915,0.0011045982601731,0.0020577337807831,5.298631992191076
0.1,8,0.2884485227772735,0.0019281663755218,0.0028503136252937,5.299392051063478
0.1,9,0.2332545888096203,0.0002445724587826,0.0022144103851606,5.290308665949851
0.1,10,0.1912638879358592,0.0009366264616559,0.0019125176781757,5.425410508178175
0.1,11,0.1194389586981124,0.0021509863210192,0.0024064011641797,5.420253078453243
0.1,12,0.2648092187448067,0.0014591720598083,0.0027311917739836,5.421389631927013
0.1,13,0.1450210977040756,0.002761602357954,0.0028223652540129,5.416610015090555
0.1,14,0.0808332507585219,0.0023617972029211,0.0023357992289863,5.4223903408274055
0.1,15,0.1152741917108935,0.0005289673076381,0.000990699541819,5.417707622051239
0.1,16,0.0958966796963431,0.0024843859373494,0.002557692136896,5.416795183904469
0.1,17,0.1323218871100195,0.0009226300192962,0.0016767242650089,5.416087133809924
0.1,18,0.107391331955391,0.0017074827740757,0.0018106030791232,5.416328600142151
0.1,19,0.2239443182924126,0.0022524419645111,0.0028972081723965,5.428538993932307
0.2,0,0.1012949412971353,0.0005225632861175,0.0009936932785319,5.469714651815593
0.2,1,0.0464382375270271,0.001015796179378,0.0011119521099832,5.533321992028505
0.2,2,0.3377810868173533,0.0009915151284161,0.0034061059657153,5.533903635106981
0.2,3,0.200879187598429,0.0002223460396542,0.0017278791801577,5.533814588095993
0.2,4,0.0717640954674133,0.0026371946036157,0.0024891876003673,5.53237889893353
0.2,5,0.3655834731364939,0.0036521385343222,0.0040543752289913,5.522387349978089
0.2,6,0.2042600533075549,0.0008064421149074,0.0019586764414396,5.527807519305497
0.2,7,0.2023083043906552,0.0015318528497559,0.0020507177787163,5.527844146359712
0.2,8,0.2756911750763507,0.0020844072604572,0.0028032914950863,5.526440479792655
0.2,9,0.2125054993983414,0.0006343246469573,0.0017590735683685,5.522446069866419
0.2,10,0.2141465351109805,0.0010274215648074,0.0019162312966712,5.528597224038094
0.2,11,0.1196602126359776,0.001988617475856,0.0023063257763083,5.529428094159812
0.2,12,0.2743819248061119,0.0007843220805789,0.002684300433413,5.52640268066898
0.2,13,0.0843247694266121,0.0023998048408039,0.0023329016935896,5.498048712033778
0.2,14,0.1770716821590159,0.0025203984279616,0.0030225158190706,5.47289232769981
0.2,15,0.2281098461371171,0.0011627160769964,0.0021654580081462,5.469967631157488
0.2,16,0.0843653214722386,0.0025596385099505,0.0024581828716845,5.476694906130433
0.2,17,0.2013479054730682,0.0014812813377788,0.0020810682229247,5.4739809152670205
0.2,18,0.1506229408848092,0.0016700341033183,0.0019540575919808,5.480517767835408
