ratio,pair,rre,rte,rmse,time
0.1,0,2.181511806883826,0.0538734483951646,0.0573783378096918,0.1175418402999639
0.1,1,2.954688239057234,0.02746834724051,0.0310359396026609,0.102657024282962
0.1,2,58.45505909539541,0.1494300866982581,0.4239930130531532,0.1016151090152561
0.1,3,21.08896840328327,0.1332868769121709,0.1773507308225425,0.102282403036952
0.1,4,4.921817200503057,0.0552697365247304,0.0674284866169225,0.1031740009784698
0.1,5,42.791871464129024,0.1913504951167705,0.3174532102365345,0.1049606120213866
0.1,6,5.085678644293299,0.0777224035911191,0.0813941351390964,0.1017196141183376
0.1,7,3.731223373116961,0.0413231786133924,0.054595454297595,0.1028953799977898
0.1,8,9.888780256808737,0.063004554486559,0.0991720293318241,0.1028799079358577
0.1,9,3.5111586198243296,0.0214341656580094,0.0396269835612184,0.1062167719937861
0.1,10,4.878412669683516,0.0469133753914935,0.072061680142967,0.1046547098085284
0.1,11,1.230509331116498,0.0316241970260337,0.0332640946046145,0.1051307045854628
0.1,12,2.7924879722914,0.0337729051509429,0.0411154233844144,0.1059567779302597
0.1,13,4.343517343628422,0.0310267948645366,0.0546222680035659,0.1046996340155601
0.1,14,15.0755409121383,0.0139609738309356,0.125659100287536,0.103523280005902
0.1,15,10.110025428303793,0.0796175448672341,0.1052228523372005,0.1034774710424244
0.1,16,3.21460809320597,0.0362632481260199,0.0363245588343343,0.1043104836717248
0.1,17,2.6879788915752094,0.0287912358112349,0.0321578720502447,0.1168180732056498
0.1,18,6.600806124064779,0.0414087146909628,0.0726177123980393,0.1024635680951178
0.1,19,5.175294734643836,0.0319274702382122,0.0519750452591794,0.1056289379484951
0.2,0,3.036534126994027,0.0112559727188613,0.0297507325676031,0.1065242700278759
0.2,1,12.316383087310689,0.144992889458418,0.1616571170864565,0.1007979460991919
0.2,2,16.209057561712335,0.0967782338351935,0.1529006038541455,0.1009295149706304
0.2,3,11.175730161774869,0.0786614937573238,0.1123008046455585,0.1021040198393166
0.2,4,17.636355712924423,0.177119575762962,0.1956345590083249,0.1015631998889148
0.2,5,94.34225801365922,0.3706088085647456,0.6747855178087235,0.1018106979317963
0.2,6,3.267657851331443,0.045874929436712,0.0510369820870944,0.1018645181320607
0.2,7,5.3041785446756045,0.0417356579034472,0.0729652916567381,0.1032293089665472
0.2,8,10.038316274810835,0.0921127064262076,0.1047978210357474,0.102561960928142
0.2,9,5.825734306257541,0.0488324116565356,0.0691968525364557,0.1041198498569428
0.2,10,13.195067756112024,0.0319874759282462,0.1016916109845795,0.1042983918450772
0.2,11,8.025312866531737,0.0553740135915535,0.0770399773830846,0.1029572519473731
0.2,12,5.335550396659976,0.0392151160699167,0.0482535456252781,0.1033271672204136
0.2,13,19.239552441718164,0.1198591884436036,0.1709878521839772,0.1010719062760472
0.2,14,32.37667619851026,0.0107199581291967,0.2527169179108949,0.1003344170749187
0.2,15,24.59202976731068,0.1737810512709946,0.2329985905316557,0.1008878690190613
0.2,16,6.048963212330117,0.0681892917031638,0.0687699286709237,0.1070861802436411
0.2,17,5.783151050749002,0.0553928951927187,0.071214192099799,0.1036715917289257
0.2,18,4.188155064316743,0.0586911345433427,0.0771724193297426,0.1043846332468092
0.2,19,13.837185392650875,0.1367144539587426,0.1683219454975742,0.1021803980693221
0.3,0,25.85969880185357,0.1622527344588499,0.2811333654987341,0.1015936122275888
0.3,1,6.954070461686005,0.0755104593265985,0.0881663496282334,0.1007354031316936
0.3,2,44.1369336038287,0.2121568782567838,0.3668908848771154,0.1011584969237446
0.3,3,10.456675939141538,0.0335583893951902,0.0887590010541706,0.1024407679215073
0.3,4,13.466907114873152,0.0919979918582669,0.1308241163178516,0.1033709561452269
0.3,5,120.92878383819924,0.4164633933896643,0.8938696836438512,0.0992100392468273
0.3,6,12.15669524625853,0.1033800011426762,0.1412941471507916,0.1050269831903278
0.3,7,9.035390414718298,0.0759873978665575,0.0882204894506582,0.1026503778994083
0.3,8,18.023142618772884,0.1176582378486882,0.1615215091441506,0.0996971409767866
0.3,9,7.271686478387899,0.0468312557904864,0.0845058753274768,0.1036894707940518
0.3,10,34.586169187774054,0.0975925682831789,0.2833000776305822,0.1023691156879067
0.3,11,5.378278420793993,0.0529586634396787,0.0701593327545846,0.1052680341526866
0.3,12,5.978503567304613,0.0518343530985251,0.0690131376004198,0.1035057697445154
0.3,13,70.41316614836991,0.0674586419263795,0.518710029983355,0.1027376861311495
0.3,14,12.517440289560922,0.0756530294608494,0.1176442481892927,0.1020426638424396
0.3,15,74.36915365942272,0.3197117499027428,0.5594781068423443,0.1012444188818335
0.3,16,9.270431923919316,0.0508881332183021,0.097670519661041,0.1059093130752444
0.3,17,6.872313610869631,0.0897105355956042,0.0943493451471022,0.1031085299327969
0.3,18,11.325497642430026,0.0498908403516469,0.1126713498693503,0.1029574708081781
0.3,19,3.0260865848136,0.0513527900375128,0.0545789944028934,0.1038274196907877
0.4,0,15.615547418277163,0.1256074756047214,0.1811798652100192,0.1002954626455903
0.4,1,35.67024606695545,0.1900694084561595,0.3458003368152111,0.1013618498109281
0.4,2,8.166897963432426,0.1202911674521811,0.1281003626322738,0.1027276339009404
0.4,3,36.73883387941204,0.2316672440988197,0.3217492620349019,0.1000020857900381
0.4,4,20.997510795932087,0.1828604476308546,0.2700746479829562,0.1025396180339157
0.4,5,131.75745287003863,0.263537219981528,1.0240607648979927,0.1008174149319529
0.4,6,118.93026977154106,0.3049579990906337,0.7235152005901052,0.100297556258738
0.4,7,18.104933824375028,0.1003816798030654,0.1748070519843683,0.100236470811069
0.4,8,17.06204508574504,0.0690983967478756,0.1614517500321187,0.1002910928800702
0.4,9,9.023123316590898,0.0586739681324549,0.1207618780346034,0.1013349182903766
0.4,10,48.00109830556502,0.1057422320937139,0.3794741063778533,0.1013932549394667
0.4,11,31.877279584842167,0.1343311225645608,0.2903365086719214,0.1026179417967796
0.4,12,15.413619347801667,0.0217445128354069,0.1420576670922348,0.1032046149484813
0.4,13,19.178198604857457,0.0888858955026472,0.1568674683438498,0.1014579427428543
0.4,14,29.70415142386662,0.0632377257071675,0.2582182811174201,0.100133289117366
0.4,15,19.60346824685644,0.1976543961159054,0.2893942146330328,0.1030143117532134
0.4,16,26.077994899028784,0.0864505134663607,0.2586561916986568,0.1001486368477344
0.4,17,12.777164394053637,0.0632431612346656,0.1226772575574286,0.1036474406719207
0.4,18,18.31434054852608,0.1000220996453751,0.1503254949302239,0.0994051252491772
0.4,19,93.80849629611797,0.7040060457846465,0.9008073653811436,0.1016609380021691
0.5,0,17.813796312526794,0.2418959350343875,0.2865362544049626,0.0996919991448521
0.5,1,25.342765404537506,0.2020986974917012,0.2653062188605268,0.1005582720972597
0.5,2,20.04836296322032,0.0633027592719008,0.1832083818618857,0.1014155270531773
0.5,3,29.99999999999998,0.1416646435694694,0.241100517942723,0.0971547118388116
0.5,4,27.29360564595557,0.2645537570421967,0.3107574848247781,0.1010970845818519
0.5,5,173.72953009383986,0.5896811091026408,0.9783956160241364,0.0990858911536634
0.5,6,29.99999999999998,0.1251159766349689,0.3003578996925994,0.0991937341168522
0.5,7,29.99999999999998,0.1342041031978764,0.2822133103521869,0.1000152281485498
0.5,8,15.653299628679964,0.2722537479256967,0.2752967227640708,0.0999496188014745
0.5,9,85.77991467897323,0.3082049206854613,0.6002309083611184,0.100754315033555
0.5,10,29.99999999999998,0.1163436118690639,0.3025652215357159,0.0979315680451691
0.5,11,29.99999999999998,0.1198779589174134,0.2859117621420456,0.098322776146233
0.5,12,101.11221593925642,0.2458468566742293,0.6653867867652932,0.1007788595743477
0.5,13,51.13254196357144,0.2493817428565374,0.397455775627467,0.1090292492881417
0.5,14,82.57028548828076,0.266036720244508,0.6349814515086735,0.1016038511879742
0.5,15,43.22295369441659,0.3692711340210871,0.4777985724637,0.1007141410373151
0.5,16,10.39564086529957,0.1013801399886591,0.1338701869982798,0.1011339873075485
0.5,17,32.71769066703202,0.1345699429222257,0.3371097889948357,0.1003091195598244
0.5,18,27.687409673554868,0.2105037161717439,0.3082043508732628,0.099659982137382
0.5,19,32.700631143665944,0.2680773182216313,0.3510643473323153,0.1149206082336604
0.6,0,122.71319360103948,0.5004385880167801,0.8405904049743619,0.0980937108397483
0.6,1,88.85023984024846,0.3325265184064987,0.6260455046543497,0.099533709231764
0.6,2,93.50253788301528,0.2768773240579029,0.7583774826847599,0.0985179999843239
0.6,3,29.99999999999998,0.1143841558797669,0.2391044021425636,0.0970798237249255
