ratio,pair,rre,rte,rmse,time
0.1,0,0.0276716449441111,0.001422682644151,0.0013867399458838,5.804322060197592
0.1,1,0.194335166512765,0.0009460405379383,0.0017532367105805,5.461094910744578
0.1,2,0.2640650710648753,0.001823921782635,0.0030427897720853,5.51430297177285
0.1,3,0.1325096574311883,0.0006884237922791,0.0012846342623565,5.463742486666888
0.1,4,0.1172688707978044,0.0021670109610813,0.0023887848425662,5.460645393002778
0.1,5,0.2731734254560405,0.0023055278046233,0.0029909985933006,5.509435094427317
0.1,6,0.2019679893012439,0.0004374044464186,0.00166306642496,5.464154866989702
0.1,7,0.0893844141269858,0.0009061242518371,0.0014404575328726,5.513719631824642
0.1,8,0.1822321984332419,0.0006019945094405,0.0015594780364242,5.459017768036574
0.1,9,0.2333733243154212,0.0004821587907881,0.0022056334575684,5.517821201123297
0.1,10,0.0949409969094759,0.0014389986488912,0.0015670784031237,5.463571193628013
0.1,11,0.0883196527785382,0.0023524689882995,0.0024942124854305,5.510305683128536
0.1,12,0.2260774862741112,0.0013338085173648,0.0023254802969127,5.457935127895325
0.1,13,0.1386318360044433,0.0016572452076226,0.0020796223172175,5.520547305699438
0.1,14,0.1275612557954778,0.0016216345134568,0.0021000656915251,5.467522494960576
0.1,15,0.1012367560606393,0.0004451260894336,0.0008778227723522,5.512394160963595
0.1,16,0.115691458887551,0.0018422373742816,0.0020729261142918,5.461397199425846
0.1,17,0.1125179766945606,0.0007732833050673,0.0014363822697812,5.46376190520823
0.1,18,0.1066130252296176,0.0014957261500545,0.0017527687726741,5.516813665628433
0.1,19,0.2208258295264616,0.0016869651939434,0.0023594590396803,5.456503826193512
0.2,0,0.0379685827499797,0.0008830363492963,0.0009270581450448,5.504219672176987
0.2,1,0.2269375351139537,0.0012643514258671,0.0022324539916485,5.448740012943745
0.2,2,0.3301146108177409,0.0022527195131777,0.0036916568189372,5.50197930727154
0.2,3,0.7382790857448068,0.0031234185786081,0.0065773290264484,5.445003769826144
0.2,4,0.1078828815119535,0.0025308519224515,0.0024244080681256,5.503826954867691
0.2,5,1.3375639308674945,0.0088567272011179,0.0119847573009618,5.447782163973898
0.2,6,0.1682897748116601,0.0010245593501567,0.0016533079049538,5.450911166612059
0.2,7,0.0608035044560177,0.0007521043868537,0.0008484932264328,5.506750221829861
0.2,8,0.4243313521176249,0.0023744223791868,0.0035969840339053,5.446989364922047
0.2,9,0.363935384537521,0.0009237961508333,0.0027493865136919,5.505448192823678
0.2,10,0.236643286755906,0.00144265941499,0.0020711160089054,5.450002406723797
0.2,11,0.2704783950792397,0.0013409515687364,0.0030164634435772,5.4996231137774885
0.2,12,0.7120031973199317,0.003441628910546,0.006594068425544,5.442445732653141
0.2,13,0.1291487791600165,0.0015343115375712,0.0018953454240668,5.504138334654272
0.2,14,0.2072427136637995,0.0014689739270222,0.0025569397142142,5.450728423893452
0.2,15,0.1660688882828095,0.0019875354268538,0.0021883388184932,5.499042511917651
0.2,16,0.1828055229426934,0.0015232425614054,0.0023226290173635,5.4491823958233
0.2,17,0.1199301733975727,0.0013691555156685,0.0017096242695313,5.506248344201595
0.2,18,0.1442524409163781,0.0015266017634473,0.0019942935419336,5.452830170746893
0.2,19,0.5415261521827026,0.0028957275844332,0.0046812414923788,5.443324544001371
0.3,0,5.4514107869631925,0.0360562267585181,0.0584850211010547,5.487429311033338
0.3,1,10.937698499807428,0.0713490727136315,0.1425513273677822,5.433066002558917
0.3,2,7.532368557337168,0.0671839657977647,0.0953708356301349,5.490230676718056
0.3,3,23.73011752419664,0.0997287547725945,0.2053569902438689,5.433455312158912
0.3,4,7.498179276431614,0.0543824971156682,0.086204847010766,5.486412811093032
0.3,5,15.615289040414064,0.0887737093271026,0.1601958269366098,5.436498780734837
0.3,6,16.123813944508772,0.0311742329314018,0.1308051096543497,5.488139019813389
0.3,7,4.890853275491731,0.0372127480162466,0.0446664849845937,5.433604008052498
0.3,8,6.679412865588738,0.0752647197820544,0.101430699496583,5.487002927809954
0.3,9,12.379162037782068,0.041643278368508,0.1004240174586381,5.436680830083787
0.3,10,17.39951720185448,0.0281051458378909,0.1383776881479875,5.435274770949036
0.3,11,16.771896628991975,0.0858547458208134,0.1511403404333894,5.489238541107625
0.3,12,21.01632815396969,0.0932689859949274,0.1993322832712351,5.442104512825608
0.3,13,13.603462578427033,0.0741243303746356,0.1188936354269239,5.494709589984268
0.3,14,15.902789307680242,0.0300601280897487,0.1478125738352393,5.436490278691053
0.3,15,9.57628069869426,0.0785424427385803,0.1245033517740998,5.484752067830414
0.3,16,8.9746913535373,0.0586655622436701,0.092894479973266,5.438263398129493
0.3,17,4.012406156058816,0.0580626953040702,0.0672499204957659,5.4867628095671535
0.3,18,10.491005671557994,0.0469858841744722,0.1240066246423936,5.435488244052976
0.3,19,13.397343536059015,0.074937487038436,0.1505283657211155,5.486022036056966
0.4,0,5.011574919393056,0.0610793943241752,0.0746873765086666,5.434891285840422
0.4,1,18.04331847215588,0.0378615380210552,0.1878448518351175,5.436240057926625
0.4,2,3.954300024714771,0.0596866474199296,0.0677383251783314,5.48461767565459
0.4,3,19.228359829643395,0.0387201227155481,0.1965705074944403,5.4381564990617335
0.4,4,8.443430875241521,0.0260510411683776,0.0825918900358936,5.4863648833706975
0.4,5,7.156811032863561,0.0604605343759445,0.0920842307803413,5.435688456054777
0.4,6,13.13311127536229,0.0753030656243548,0.1276574895582755,5.484771065879613
0.4,7,13.915926080828491,0.071817304383994,0.1341590681602365,5.437579806894064
0.4,8,17.08111237992541,0.0506731289683888,0.1341457068221044,5.4813695210032165
0.4,9,9.315844577453914,0.0268881773491397,0.0876965963553515,5.437009537126869
0.4,10,15.116570930098064,0.0500280442964411,0.1398166680215377,5.43584134336561
0.4,11,8.007190861728645,0.0841328445233461,0.1046320157262368,5.487015816848725
0.4,12,14.097287997795124,0.0291163806676204,0.129929154933177,5.435645106248558
0.4,13,29.442276630724525,0.0797812568645557,0.2233747877252376,5.484313817229122
0.4,14,13.543466100784812,0.0504657046944645,0.1375077410823663,5.434657560195774
0.4,15,24.352590330321853,0.0762609349775573,0.1973427116902555,5.491576741915196
0.4,16,21.895610288586823,0.0585261929946026,0.1815439357968342,5.436198165640235
0.4,17,8.811474434532732,0.0299010144550324,0.0919936345154621,5.486054785083979
0.4,18,14.477435197182206,0.0187562858174134,0.1267669651539875,5.4373139180243015
0.4,19,16.48184708264348,0.0466248504762021,0.162612545769716,5.494245653040707
0.5,0,5.926913411814715,0.0563836335147551,0.0779511977300532,5.439316848758608
0.5,1,18.62950804395134,0.0176129546363469,0.1891478843487765,5.486915893852711
0.5,2,8.530950091723385,0.036288681247223,0.1005997267608089,5.434744458179921
0.5,3,31.25971669525357,0.0354691260827037,0.2980770303717194,5.427315772045404
0.5,4,20.693747373582816,0.0208672311917881,0.2046776645084853,5.492289282847196
0.5,5,9.4992224050245,0.0211809072656729,0.0826430931544922,5.431188690010458
0.5,6,25.84952619094928,0.1002706150249816,0.2163096917526437,5.498474930878729
0.5,7,16.789643830382765,0.0663463970698363,0.1418529277553746,5.429000542033464
0.5,8,17.644661286393703,0.0463642104382334,0.1457426682612188,5.492041773628444
0.5,9,10.286440107705529,0.0490168116193377,0.1144098308606678,5.428970489185304
0.5,10,12.743713732602288,0.0472821123395862,0.1320324211853905,5.492833656258881
0.5,11,13.116051487866349,0.0514776340696257,0.1319643986427312,5.430241844151169
0.5,12,26.990018250785266,0.0717746052905798,0.2162276931480166,5.497163416817784
0.5,13,17.154392650901688,0.0826830268513913,0.1567751270561554,5.4300453290343285
0.5,14,11.724627929645257,0.0954565788651282,0.1284882544280455,5.438602101057768
0.5,15,15.569026295452923,0.0616928757663029,0.1534057019429661,5.484792293049395
0.5,16,19.32763808940881,0.0862884144090826,0.1638987921971699,5.446522624231875
0.5,17,4.175421663238126,0.0301606009536059,0.052746462586318,5.488292838912457
0.5,18,7.897452859037779,0.0364876675038649,0.0918079886344902,5.440503940917552
0.5,19,6.772769977421981,0.0580816111638881,0.0798982445394915,5.4823614289052784
0.6,0,22.73334253314514,0.0944571740586616,0.2031243715081171,5.439437821041793
0.6,1,25.406647728337447,0.036994180357175,0.2567190126752062,5.48316733725369
0.6,2,13.608821856013453,0.0424363235014044,0.1371573418361845,5.440451226197183
0.6,3,30.232289708372203,0.0564662314339518,0.249687401237317,5.482694898266345
0.6,4,16.410651435089505,0.040343822928146,0.1551470888171176,5.441268266644329
0.6,5,27.366470130203883,0.0521894548848132,0.2664027252243681,5.43870089109987
0.6,6,23.87355385555511,0.1121804342740643,0.2265180751422341,5.489924082998186
0.6,7,11.0102432947907,0.0960777736277237,0.136919192259168,5.434339554980397
0.6,8,18.889078323249187,0.0883812264547763,0.1804067107263885,5.491177984047681
0.6,9,11.7922820481017,0.0785207784832525,0.1306669680422381,5.4334854651242495
0.6,10,13.424971479625354,0.0541320942037118,0.1295389123467488,5.489644587039948
0.6,11,31.02052023705921,0.0646000169545556,0.3010928681016133,5.433480835985392
0.6,12,20.355270884790148,0.0785988889827508,0.1652095641765178,5.48729800991714
0.6,13,11.118530721699711,0.0886195082778803,0.1148757595284135,5.435652290005237
0.6,14,23.74462721852792,0.0714432244889145,0.2361435382195646,5.486806224565953
0.6,15,25.45570110891419,0.0785613631279193,0.2697896340801838,5.43180010933429
0.6,16,24.85043331152879,0.1340089558843477,0.2665582265335569,5.49080959521234
0.6,17,12.043487426584788,0.0841504754684155,0.1131183250861449,5.434064869303256
0.6,18,20.02630092861273,0.047707497140497,0.2021244873178912,5.434879872016609
0.6,19,19.6879162096654,0.0609127439181069,0.1935630160379143,5.487769121304154
0.7,0,29.10953808092594,0.13283508814120373,0.26471100870589465,5.435089115984738
0.7,1,29.68185542850796,0.08423360066059439,0.29838880054718736,5.486017745919526
0.7,2,12.273992823766115,0.11124482680229682,0.15116096079142638,5.438069386873394
0.7,3,24.112586062877895,0.08015850342160523,0.18713895710533693,5.488796594552696
0.7,4,19.175353051827962,0.08838862086508194,0.17074752881447766,5.436179008800536
0.7,5,13.172543475367126,0.07353486077378106,0.15085295187236056,5.485139898024499
0.7,6,21.60576516187892,0.11295885154881646,0.20836201403173019,5.433911330066621
0.7,7,14.23406267751047,0.1011439913958119,0.15081610478868235,5.433108173310757
0.7,8,13.783060299019049,0.08102509787452628,0.14326982808615116,5.487651004921645
0.7,9,13.331864058912604,0.08494263240364026,0.13435728376839937,5.4341626120731235
0.7,10,12.792009695378812,0.07194618491005776,0.11522543493879904,5.493061461020261
0.7,11,22.60564610677409,0.09067276799399958,0.22653620992301413,5.434548765886575
0.7,12,38.8838370255713,0.09424580470577625,0.36097944621195327,5.488734209910035
0.7,13,37.25719537051074,0.12336146948393628,0.31414365144770323,5.432482874020934
0.7,14,38.11221973036916,0.123857877599607,0.3831852955451879,5.495093230623752
0.7,15,24.78988986238189,0.07258727731416521,0.26361122497965167,5.436397918034345
0.7,16,30.28224167908829,0.14358639415790628,0.29013767037180976,5.489505914971232
0.7,17,29.56616284862657,0.12684239896380256,0.25228658719143016,5.433471719268709
0.7,18,23.997868964893488,0.09700054125984674,0.1974354989338981,5.491452028974891
0.7,19,20.51973245839734,0.07459024072892256,0.20584687972271692,5.4372094217687845
