ratio,pair,rre,rte,rmse,time
0.1,0,0.6031007905236914,0.0042364174598296,0.0067729073341077,6.683648755773902
0.1,1,9.704831602204337,0.0382636119291923,0.1118111331625559,0.289849875960499
0.1,2,0.3512573633295612,0.0028795164874075,0.0043938006990473,0.2700544279068708
0.1,3,4.635342157599017,0.0185889338619094,0.0364709293906106,0.2246577781625092
0.1,4,0.9846091364920978,0.0072843319257024,0.0104448966209388,0.3652324839495122
0.1,5,0.5052268001549772,0.0038927046279047,0.005892186053362,0.2002193443477153
0.1,6,3.74673486520848,0.0106699307306615,0.033161527059628,0.2151984549127519
0.1,7,0.4742432025488468,0.0017169174696382,0.0041018299103535,0.2115311287343502
0.1,8,31.393425716828453,0.1708537896008573,0.33045620075659,0.2005324931815266
0.1,9,10.460919918829983,0.023816466961671,0.0870677256547695,0.2006955491378903
0.1,10,14.22774430904776,0.0519523112621851,0.1523884108930927,0.2219402301125228
0.1,11,18.364637337468668,0.1241599376600313,0.2029691792227277,0.211642911657691
0.1,12,0.3720532854104214,0.0034885609412344,0.004049222254621,0.1969911372289061
0.1,13,7.383151425477659,0.0392033105612793,0.0697011567229671,0.1970142093487084
0.1,14,22.81897733579414,0.1341974411875483,0.2470214480463606,0.2027828218415379
0.1,15,1.22705175481841,0.0046169218105911,0.0114972667411819,0.1985939876176417
0.1,16,11.14407741951203,0.0459718989894692,0.0918284050228075,0.2108321157284081
0.1,17,0.3551873742801929,0.0014605953378765,0.003212965320051,0.1816458120010793
0.1,18,3.610803904728167,0.0193600070490792,0.0431585860161659,0.1976455468684435
0.1,19,16.381272764890586,0.1245090517624819,0.1638219981921606,0.2020275993272662
0.2,0,1.001017195860988,0.0069108123332141,0.0111292644171155,0.2007480380125343
0.2,1,12.238138779848176,0.0617080991389345,0.1435180989179522,0.2028834163211286
0.2,2,0.4732391078822913,0.0009018969171722,0.0044199297593008,0.2810319643467664
0.2,3,5.677823517953732,0.0222471149905072,0.0467802634858178,0.2015042859129607
0.2,4,0.6798197705547866,0.0044443314457045,0.0072141395258352,0.1972091868519783
0.2,5,0.3646670624742558,0.0030769392349989,0.004388483830161,0.1974467942491173
0.2,6,3.06727362308022,0.0081997552278309,0.027357573713535,0.1978093180805444
0.2,7,0.2703649468939413,0.0021165803928273,0.0031419640071096,0.2024113559164106
